epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,105.252,2.22669,2.03359,2.82966,0.60175,0.58333,0.52549,0.17843,2.16658,1.76511,3.08404,0.00157623,0.00157623,0.00157623
57,106.651,2.30517,2.08378,2.91371,0.66195,0.74859,0.76129,0.31714,1.8738,1.37642,2.64545,0.00157458,0.00157458,0.00157458
58,108.013,2.12712,1.98052,2.73616,0.76982,0.72863,0.81947,0.32085,1.72436,1.53315,2.49987,0.00157293,0.00157293,0.00157293
59,109.528,2.06239,1.91055,2.84127,0.7021,0.77778,0.83232,0.35512,1.66038,1.54528,2.44927,0.00157128,0.00157128,0.00157128
60,111.257,1.99393,1.88693,2.7815,0.82139,0.87889,0.87795,0.37899,1.74593,1.42902,2.5749,0.00156963,0.00156963,0.00156963
61,112.992,2.18677,1.9237,2.76681,0.71959,0.67398,0.73621,0.31621,1.69278,1.50405,2.64775,0.00156798,0.00156798,0.00156798
62,114.602,2.04027,1.81963,2.68369,0.78804,0.69444,0.79839,0.31045,1.98287,1.69176,2.83866,0.00156633,0.00156633,0.00156633
63,116.461,1.92553,1.84251,2.62149,0.64462,0.66053,0.77636,0.36174,1.62783,1.61339,2.57892,0.00156468,0.00156468,0.00156468
64,118.031,1.98835,1.82322,2.72094,0.67306,0.73731,0.81839,0.43124,1.58846,1.40263,2.45392,0.00156303,0.00156303,0.00156303
65,119.716,2.06891,1.82083,2.66796,0.81668,0.71987,0.83219,0.40222,1.68534,1.26673,2.59071,0.00156138,0.00156138,0.00156138
66,121.236,2.03716,1.72624,2.68861,0.81209,0.72829,0.84472,0.43276,1.58119,1.47668,2.54725,0.00155973,0.00155973,0.00155973
67,122.879,1.9336,1.67675,2.62501,0.7964,0.80556,0.88351,0.43311,1.56555,2.06854,2.48122,0.00155808,0.00155808,0.00155808
68,124.678,2.02133,1.81113,2.72695,0.62346,0.72119,0.70893,0.28158,1.70929,1.56031,2.62869,0.00155643,0.00155643,0.00155643
69,126.101,1.94171,1.79703,2.66982,0.67477,0.49653,0.56819,0.25206,1.79169,1.75957,2.7997,0.00155478,0.00155478,0.00155478
70,127.681,2.05271,1.74239,2.7916,0.72793,0.75,0.80453,0.36683,1.54605,1.5244,2.52966,0.00155313,0.00155313,0.00155313
71,129.082,1.82231,1.6617,2.57489,0.64411,0.55556,0.68774,0.28683,1.77202,1.5772,2.72706,0.00155148,0.00155148,0.00155148
72,130.646,1.81493,1.51102,2.55987,0.58785,0.62087,0.68554,0.3141,1.7234,1.46697,2.72113,0.00154983,0.00154983,0.00154983
73,132.023,1.83525,1.71367,2.52519,0.56009,0.75322,0.73877,0.31384,1.94395,1.52618,2.82197,0.00154818,0.00154818,0.00154818
74,133.513,1.90853,1.5892,2.5062,0.76413,0.80556,0.86675,0.41176,1.8209,1.27695,2.65974,0.00154653,0.00154653,0.00154653
75,135.064,1.87105,1.61665,2.61589,0.88339,0.77675,0.90003,0.48165,1.4994,1.15526,2.49222,0.00154488,0.00154488,0.00154488
76,136.654,1.93304,1.49799,2.53166,0.86354,0.82361,0.93037,0.5151,1.45357,1.26196,2.4226,0.00154323,0.00154323,0.00154323
77,138.054,1.90805,1.63775,2.57738,0.77679,0.82078,0.92693,0.49301,1.72484,1.46507,2.68578,0.00154157,0.00154157,0.00154157
78,139.627,1.89386,1.54803,2.54251,0.70137,0.83553,0.85403,0.46066,1.64185,1.41319,2.51403,0.00153992,0.00153992,0.00153992
79,141.166,1.76993,1.59331,2.49681,0.74681,0.82728,0.83249,0.40456,1.67183,1.5607,2.55088,0.00153827,0.00153827,0.00153827
80,142.738,1.92414,1.54119,2.6302,0.84454,0.71351,0.81337,0.43715,1.54642,1.3024,2.40312,0.00153662,0.00153662,0.00153662
81,144.143,1.78556,1.52059,2.43854,0.75727,0.66667,0.76408,0.43525,1.50731,1.46726,2.45147,0.00153497,0.00153497,0.00153497
82,145.57,1.81812,1.48836,2.46317,0.74249,0.86935,0.89545,0.47036,1.46934,1.22453,2.43682,0.00153332,0.00153332,0.00153332
83,147.007,1.64876,1.40158,2.41441,0.83662,0.86111,0.89077,0.48662,1.43011,1.10591,2.39641,0.00153167,0.00153167,0.00153167
84,148.575,1.70368,1.45203,2.46915,0.97134,0.83044,0.9599,0.52405,1.4393,1.00606,2.46628,0.00153002,0.00153002,0.00153002
85,150.148,1.67319,1.36541,2.38323,0.80521,0.77056,0.84146,0.46639,1.32582,1.19718,2.48002,0.00152837,0.00152837,0.00152837
86,151.902,1.72023,1.47992,2.46218,0.81228,0.7753,0.87861,0.50817,1.45213,1.12196,2.52747,0.00152672,0.00152672,0.00152672
87,153.354,1.74517,1.4162,2.45737,0.64621,0.82336,0.79588,0.45932,1.51601,1.01592,2.55107,0.00152507,0.00152507,0.00152507
88,155.215,1.93411,1.5293,2.50571,0.76189,0.75,0.81514,0.48079,1.44988,1.02091,2.54525,0.00152342,0.00152342,0.00152342
89,156.587,1.77744,1.4963,2.4421,0.87836,0.74512,0.87706,0.53744,1.4793,1.01139,2.49022,0.00152177,0.00152177,0.00152177
90,158.117,1.82995,1.41936,2.57871,0.86069,0.79155,0.87,0.52681,1.36666,1.1957,2.29576,0.00152012,0.00152012,0.00152012
91,159.755,1.7755,1.56197,2.46317,0.85742,0.83333,0.89707,0.54505,1.39858,1.15783,2.32608,0.00151847,0.00151847,0.00151847
92,161.233,1.67806,1.54085,2.37986,0.89808,0.78534,0.8938,0.4906,1.36408,1.26921,2.36052,0.00151682,0.00151682,0.00151682
93,162.696,1.66827,1.44996,2.31345,0.83734,0.81744,0.90936,0.47883,1.41687,1.48246,2.38922,0.00151517,0.00151517,0.00151517
94,164.046,1.6887,1.45236,2.43457,0.89455,0.89236,0.95801,0.5223,1.30472,1.16554,2.28285,0.00151352,0.00151352,0.00151352
95,165.562,1.63919,1.48063,2.33078,0.9025,0.87223,0.9557,0.58896,1.33504,1.07589,2.30777,0.00151187,0.00151187,0.00151187
