epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4657.51,0.81375,0.58765,2.20216,0.89699,0.94893,0.94366,0.8143,0.54132,0.41833,1.73123,0.004357,0.004357,0.004357
59,4743.61,0.80542,0.58451,2.19107,0.8959,0.94808,0.94321,0.81879,0.53519,0.41827,1.72289,0.004258,0.004258,0.004258
60,4828.98,0.80566,0.5816,2.18543,0.89767,0.94598,0.94305,0.81808,0.53698,0.42168,1.71962,0.004159,0.004159,0.004159
61,4914.39,0.80251,0.57837,2.18333,0.89134,0.95607,0.94274,0.81564,0.53243,0.42018,1.70756,0.00406,0.00406,0.00406
62,5000.96,0.7984,0.5755,2.18219,0.8851,0.96118,0.94568,0.82254,0.53222,0.41722,1.6997,0.003961,0.003961,0.003961
63,5086.2,0.79599,0.57755,2.17249,0.89098,0.95606,0.94644,0.82601,0.53049,0.41522,1.70171,0.003862,0.003862,0.003862
64,5172.35,0.7947,0.57722,2.17337,0.89707,0.95298,0.94613,0.82565,0.52845,0.41198,1.69984,0.003763,0.003763,0.003763
65,5257.88,0.79041,0.5716,2.16433,0.89861,0.9546,0.94533,0.82403,0.52903,0.41191,1.69756,0.003664,0.003664,0.003664
66,5335.96,0.78015,0.56666,2.14513,0.89897,0.95552,0.94737,0.82511,0.5267,0.40819,1.68197,0.003565,0.003565,0.003565
67,5420.76,0.78234,0.5661,2.15242,0.8979,0.95561,0.94793,0.82765,0.52594,0.40758,1.67605,0.003466,0.003466,0.003466
68,5505.79,0.77326,0.56119,2.13574,0.89261,0.95677,0.9485,0.82736,0.52064,0.41094,1.66773,0.003367,0.003367,0.003367
69,5590.09,0.77749,0.56862,2.14794,0.89468,0.956,0.94823,0.82904,0.51848,0.40987,1.6619,0.003268,0.003268,0.003268
70,5674.57,0.77648,0.55885,2.14225,0.89449,0.95747,0.94767,0.82796,0.51743,0.40929,1.65898,0.003169,0.003169,0.003169
71,5760.22,0.76975,0.55391,2.13868,0.90026,0.95684,0.94901,0.83169,0.51398,0.40627,1.65285,0.00307,0.00307,0.00307
72,5841.48,0.76345,0.55486,2.11587,0.90067,0.95714,0.94708,0.82941,0.51486,0.40895,1.65169,0.002971,0.002971,0.002971
73,5918.53,0.76109,0.55054,2.11998,0.90008,0.95424,0.94706,0.83053,0.51465,0.40882,1.65129,0.002872,0.002872,0.002872
74,5999.28,0.76083,0.54842,2.12482,0.89977,0.95498,0.94766,0.83191,0.51284,0.40659,1.64936,0.002773,0.002773,0.002773
75,6075.16,0.75702,0.54516,2.11383,0.89676,0.95573,0.94807,0.83277,0.51064,0.40419,1.64533,0.002674,0.002674,0.002674
76,6150.69,0.75477,0.54547,2.11324,0.89709,0.95537,0.94836,0.83269,0.50794,0.40365,1.64361,0.002575,0.002575,0.002575
77,6226.24,0.75487,0.54674,2.1079,0.896,0.95999,0.94875,0.83337,0.50794,0.40294,1.64299,0.002476,0.002476,0.002476
78,6301.65,0.75133,0.54141,2.11166,0.89705,0.95906,0.94872,0.83374,0.50578,0.40158,1.64164,0.002377,0.002377,0.002377
79,6376.93,0.74447,0.5403,2.09607,0.89642,0.95758,0.94934,0.8354,0.50403,0.40169,1.63659,0.002278,0.002278,0.002278
80,6452.33,0.7472,0.54472,2.0957,0.89886,0.95694,0.94973,0.83549,0.5025,0.4012,1.63463,0.002179,0.002179,0.002179
81,6527.93,0.74902,0.54487,2.10064,0.9002,0.95544,0.94989,0.83668,0.50146,0.40139,1.63325,0.00208,0.00208,0.00208
82,6603.48,0.73789,0.535,2.08436,0.8982,0.95663,0.95047,0.83902,0.5014,0.40152,1.63516,0.001981,0.001981,0.001981
83,6678.79,0.74181,0.53773,2.09613,0.89692,0.95913,0.95082,0.83934,0.5008,0.4008,1.63196,0.001882,0.001882,0.001882
84,6753.73,0.7333,0.53343,2.08406,0.8999,0.95502,0.94965,0.8402,0.49954,0.40051,1.63005,0.001783,0.001783,0.001783
85,6828.76,0.7346,0.5321,2.08122,0.9017,0.9537,0.9499,0.84027,0.49864,0.40008,1.62659,0.001684,0.001684,0.001684
86,6903.49,0.7312,0.53205,2.07164,0.90396,0.95257,0.95,0.83965,0.49812,0.4011,1.62451,0.001585,0.001585,0.001585
87,6978.2,0.72392,0.52363,2.06469,0.90174,0.95471,0.95017,0.84073,0.49697,0.39844,1.62107,0.001486,0.001486,0.001486
88,7053.42,0.72127,0.52339,2.05775,0.90042,0.95521,0.95048,0.841,0.49635,0.39759,1.61964,0.001387,0.001387,0.001387
89,7128.48,0.71925,0.52344,2.06027,0.90146,0.95468,0.95043,0.84089,0.4957,0.3965,1.61717,0.001288,0.001288,0.001288
90,7203.39,0.71349,0.52072,2.05124,0.9033,0.95441,0.94988,0.84142,0.49429,0.39556,1.61463,0.001189,0.001189,0.001189
91,7272.77,0.56846,0.39346,1.58203,0.90237,0.95444,0.95095,0.84289,0.49355,0.39502,1.61061,0.00109,0.00109,0.00109
92,7339.72,0.56211,0.38568,1.55562,0.90106,0.95749,0.95131,0.84463,0.49271,0.39486,1.60688,0.000991,0.000991,0.000991
93,7406.74,0.55863,0.38303,1.55063,0.90185,0.95572,0.95145,0.84581,0.49079,0.39351,1.60197,0.000892,0.000892,0.000892
94,7473.75,0.54699,0.37797,1.53894,0.90197,0.95605,0.95103,0.84733,0.48921,0.39299,1.59825,0.000793,0.000793,0.000793
95,7540.83,0.5466,0.37563,1.52232,0.90231,0.95586,0.95124,0.84803,0.48776,0.39163,1.59373,0.000694,0.000694,0.000694
96,7607.48,0.53838,0.37363,1.51752,0.90287,0.95565,0.95144,0.84825,0.48659,0.39045,1.58984,0.000595,0.000595,0.000595
97,7674.44,0.53431,0.37167,1.51096,0.90334,0.95617,0.9515,0.84943,0.48543,0.38968,1.58677,0.000496,0.000496,0.000496
98,7741.37,0.53421,0.36986,1.50102,0.90377,0.95544,0.95147,0.84992,0.48396,0.38923,1.58377,0.000397,0.000397,0.000397
99,7808.23,0.53297,0.36975,1.48885,0.90418,0.95621,0.95159,0.85032,0.48319,0.38898,1.58121,0.000298,0.000298,0.000298
100,7874.96,0.53236,0.36682,1.49797,0.90425,0.95662,0.95154,0.85096,0.4823,0.38877,1.57898,0.000199,0.000199,0.000199
